"measuredItemCPC","Value","geographicAreaM49","measuredElement","timePointYears"
"23110",72,"0","5423","0"
"39120.01",20,"0","5423","0"
"23710",100,"0","5423","0"
"23140.01",2,"0","5423","0"
"F0020",120,"0","5423","0"
"23140.02",95,"0","5423","0"
"F0022",100,"0","5423","0"
"23220.01",85,"0","5423","0"
"23220.02",11,"0","5423","0"
"24230.01",45,"0","5423","0"
"23162",80,"0","5423","0"
"23161.01",85,"0","5423","0"
"23161.02",66.7,"0","5423","0"
"23161.03",100,"0","5423","0"
"39130.01",9,"0","5423","0"
"23220.03",90,"0","5423","0"
"39120.02",10,"0","5423","0"
"21691.01",14,"0","5423","0"
"21910.01",75,"0","5423","0"
"23120.01",100,"0","5423","0"
"24230.02",180,"0","5423","0"
"23140.03",100,"0","5423","0"
"23140.04",70,"0","5423","0"
"23140.05",55,"0","5423","0"
"39120.03",20,"0","5423","0"
"23120.02",43,"0","5423","0"
"24320",70,"0","5423","0"
"23999.01",80,"0","5423","0"
"24310.01",850,"0","5423","0"
"23140.06",6,"0","5423","0"
"23120.03",85,"0","5423","0"
"39120.04",10,"0","5423","0"
"21691.02",44,"0","5423","0"
"21910.02",55,"0","5423","0"
"39130.02",10,"0","5423","0"
"23220.04",85,"0","5423","0"
"24310.02",500,"0","5423","0"
"23120.04",80,"0","5423","0"
"39120.05",20,"0","5423","0"
"23140.07",55,"0","5423","0"
"39120.06",15,"0","5423","0"
"0118",20,"0","5423","0"
"23120.05",90,"0","5423","0"
"39120.07",20,"0","5423","0"
"24310.03",450,"0","5423","0"
"23120.06",90,"0","5423","0"
"39120.08",20,"0","5423","0"
"24310.04",530,"0","5423","0"
"23120.07",60,"0","5423","0"
"39120.09",20,"0","5423","0"
"23120.08",85,"0","5423","0"
"39120.10",30,"0","5423","0"
"23120.09",75,"0","5423","0"
"39120.11",25,"0","5423","0"
"23120.10",85,"0","5423","0"
"39120.12",18,"0","5423","0"
"23991.01",100,"0","5423","0"
"23490.02",100,"0","5423","0"
"23120.90",85,"0","5423","0"
"39120.13",18,"0","5423","0"
"23140.08",60,"0","5423","0"
"21392",20,"0","5423","0"
"21313",60,"0","5423","0"
"23220.05",15,"0","5423","0"
"39130.03",35,"0","5423","0"
"23230.01",15,"0","5423","0"
"23170.01",28,"0","5423","0"
"23230.02",25,"0","5423","0"
"01520.01",32,"0","5423","0"
"23220.06",25,"0","5423","0"
"23170.02",15,"0","5423","0"
"01599.10",20,"0","5423","0"
"23511.01",11,"0","5423","0"
"23512",13.5,"0","5423","0"
"23510",100,"0","5423","0"
"23511.02",10,"0","5423","0"
"23520",92,"0","5423","0"
"23540",4,"0","5423","0"
"23210.04",100,"0","5423","0"
"23670.01",220,"0","5423","0"
"39140.01",7,"0","5423","0"
"39140.02",25,"0","5423","0"
"23210.05",100,"0","5423","0"
"23210.06",6,"0","5423","0"
"23210.08",100,"0","5423","0"
"23170.03",80,"0","5423","0"
"39120.14",15,"0","5423","0"
"21429.01",55,"0","5423","0"
"21424",22,"0","5423","0"
"21422",53,"0","5423","0"
"21429.02",50,"0","5423","0"
"21423",47,"0","5423","0"
"F0235",40,"0","5423","0"
"2161",18,"0","5423","0"
"21910.03",80,"0","5423","0"
"23995.01",300,"0","5423","0"
"23995.02",450,"0","5423","0"
"23999.03",370,"0","5423","0"
"21421",70,"0","5423","0"
"2162",42,"0","5423","0"
"21910.04",54,"0","5423","0"
"21495.01",100,"0","5423","0"
"21495.02",100,"0","5423","0"
"21429.07",20,"0","5423","0"
"01492",25,"0","5423","0"
"2166",61,"0","5423","0"
"21910.05",35,"0","5423","0"
"01491.02",10,"0","5423","0"
"2165",19.5,"0","5423","0"
"21691.14",47,"0","5423","0"
"21910.06",51,"0","5423","0"
"2167",20,"0","5423","0"
"F0262",100,"0","5423","0"
"21691.03",33.5,"0","5423","0"
"21691.04",42,"0","5423","0"
"21631.01",40,"0","5423","0"
"21910.07",50,"0","5423","0"
"21641.01",36,"0","5423","0"
"21910.08",60,"0","5423","0"
"21910.09",25,"0","5423","0"
"21673",6,"0","5423","0"
"21691.05",16,"0","5423","0"
"21631.02",32,"0","5423","0"
"21910.10",62,"0","5423","0"
"21691.07",44,"0","5423","0"
"21910.11",50,"0","5423","0"
"21641.02",33,"0","5423","0"
"21910.12",60,"0","5423","0"
"23995.03",80,"0","5423","0"
"21691.08",41,"0","5423","0"
"21910.13",50,"0","5423","0"
"21691.09",15,"0","5423","0"
"21691.10",15,"0","5423","0"
"01499.06",60,"0","5423","0"
"01499.07",50,"0","5423","0"
"21691.11",17,"0","5423","0"
"21910.14",80,"0","5423","0"
"0143",66.67,"0","5423","0"
"2168",17,"0","5423","0"
"21910.15",50,"0","5423","0"
"21691.12",34,"0","5423","0"
"21910.16",63,"0","5423","0"
"21691.13",26,"0","5423","0"
"21910.17",66,"0","5423","0"
"21691.90",30,"0","5423","0"
"21910.90",65,"0","5423","0"
"21920",70,"0","5423","0"
"21321",90,"0","5423","0"
"21399.01",30,"0","5423","0"
"21399.02",85,"0","5423","0"
"21319.01",100,"0","5423","0"
"21399.03",100,"0","5423","0"
"21393.01",25,"0","5423","0"
