"Value","measuredItemChildCPC","measuredItemParentCPC","geographicAreaM49","measuredShare","timePointYearsSP"
1,"23110","0111","0","1","0"
1,"23140.01","0111","0","1","0"
1,"39120.01","0111","0","1","0"
1,"23110","0111","0","1","0"
1,"23140.01","0111","0","1","0"
1,"39120.01","0111","0","1","0"
1,"23110","0111","0","1","0"
1,"23140.01","0111","0","1","0"
1,"39120.01","0111","0","1","0"
0,"23110","0111","0","1","0"
0,"39120.01","0111","0","1","0"
0,"23110","0111","0","1","0"
0,"39120.01","0111","0","1","0"
1,"23140.02","0111","0","1","0"
1,"23140.03","0111","0","1","0"
0,"24320","0111","0","1","0"
0,"23140.08","0111","0","1","0"
0,"24110","0111","0","1","0"
0,"2413","0111","0","1","0"
1,"23710","23110","0","1","0"
1,"F0020","23110","0","1","0"
1,"F0022","23110","0","1","0"
1,"23220.02","23110","0","1","0"
1,"23220.01","23110","0","1","0"
1,"23220.02","23110","0","1","0"
1,"23220.01","23110","0","1","0"
1,"24230.01","23110","0","1","0"
0,"23140.03","23110","0","1","0"
1,"23490.02","23110","0","1","0"
0,"23140.08","23110","0","1","0"
0,"23140.03","39120.01","0","1","0"
0,"23210.03","23220.01","0","1","0"
0,"23210.05","23220.01","0","1","0"
0,"2413","23220.01","0","1","0"
0,"39130.04","23220.02","0","1","0"
1,"23162","0113","0","1","0"
0,"23162","0113","0","1","0"
0,"39120.02","0113","0","1","0"
0,"23162","0113","0","1","0"
0,"39120.02","0113","0","1","0"
1,"39120.02","0113","0","1","0"
1,"23161.02","0113","0","1","0"
1,"39120.02","0113","0","1","0"
1,"23161.02","0113","0","1","0"
1,"23161.01","23162","0","1","0"
1,"39120.02","23162","0","1","0"
1,"23161.01","23162","0","1","0"
1,"39120.02","23162","0","1","0"
1,"23161.03","23161.01","0","1","0"
0,"24230.02","23161.01","0","1","0"
0,"23140.03","23161.01","0","1","0"
0,"23161.03","23161.02","0","1","0"
0,"23140.03","23161.02","0","1","0"
1,"39130.01","23161.03","0","1","0"
1,"23220.03","23161.03","0","1","0"
1,"39130.01","23161.03","0","1","0"
1,"23220.03","23161.03","0","1","0"
1,"23120.01","23161.03","0","1","0"
1,"24230.02","23161.03","0","1","0"
0,"23140.03","23161.03","0","1","0"
0,"24310.01","23161.03","0","1","0"
0,"23140.08","23161.03","0","1","0"
0,"24110","23161.03","0","1","0"
0,"2413","23161.03","0","1","0"
0,"39130.04","39130.01","0","1","0"
0,"23210.05","23220.03","0","1","0"
0,"21700.01","21691.01","0","1","0"
0,"21700.02","21691.01","0","1","0"
0,"F1275","21691.01","0","1","0"
0,"23710","23120.01","0","1","0"
1,"23140.04","0115","0","1","0"
1,"39120.03","0115","0","1","0"
1,"23140.04","0115","0","1","0"
1,"39120.03","0115","0","1","0"
1,"24320","0115","0","1","0"
0,"2413","0115","0","1","0"
0,"23912.01","0115","0","1","0"
0,"23140.03","23140.04","0","1","0"
1,"23140.05","23140.04","0","1","0"
1,"23120.02","23140.04","0","1","0"
1,"23140.05","23140.04","0","1","0"
1,"23120.02","23140.04","0","1","0"
0,"23140.03","24320","0","1","0"
1,"23999.01","24320","0","1","0"
1,"24310.01","24320","0","1","0"
0,"23210.05","24320","0","1","0"
0,"24110","24320","0","1","0"
0,"2413","24320","0","1","0"
0,"24310.01","23999.01","0","1","0"
0,"23140.03","0112","0","1","0"
0,"24310.01","0112","0","1","0"
1,"23120.03","0112","0","1","0"
1,"39120.04","0112","0","1","0"
1,"23140.06","0112","0","1","0"
1,"23120.03","0112","0","1","0"
1,"39120.04","0112","0","1","0"
1,"23140.06","0112","0","1","0"
1,"23120.03","0112","0","1","0"
1,"39120.04","0112","0","1","0"
1,"23140.06","0112","0","1","0"
0,"23120.03","0112","0","1","0"
0,"39120.04","0112","0","1","0"
0,"23120.03","0112","0","1","0"
0,"39120.04","0112","0","1","0"
0,"23120.03","0112","0","1","0"
1,"39130.02","0112","0","1","0"
1,"23220.04","0112","0","1","0"
1,"39130.02","0112","0","1","0"
1,"23220.04","0112","0","1","0"
1,"24310.02","0112","0","1","0"
0,"23140.08","0112","0","1","0"
0,"24110","0112","0","1","0"
0,"2413","0112","0","1","0"
0,"24310.01","23120.03","0","1","0"
0,"39130.02","23120.03","0","1","0"
0,"23220.04","23120.03","0","1","0"
0,"39130.02","23120.03","0","1","0"
0,"23220.04","23120.03","0","1","0"
0,"39130.04","39120.04","0","1","0"
0,"21700.01","21691.02","0","1","0"
0,"21700.02","21691.02","0","1","0"
0,"F1275","21691.02","0","1","0"
0,"39130.04","21910.02","0","1","0"
1,"39130.04","39130.02","0","1","0"
0,"24310.02","23220.04","0","1","0"
1,"23210.03","23220.04","0","1","0"
1,"23210.05","23220.04","0","1","0"
0,"24110","23220.04","0","1","0"
0,"2413","23220.04","0","1","0"
0,"23140.03","0112","0","1","0"
0,"23140.08","0112","0","1","0"
0,"F0020","0116","0","1","0"
0,"23140.03","0116","0","1","0"
0,"23120.04","0116","0","1","0"
1,"39120.05","0116","0","1","0"
1,"23120.04","0116","0","1","0"
1,"39120.05","0116","0","1","0"
1,"23120.04","0116","0","1","0"
0,"23140.08","0116","0","1","0"
0,"24110","0116","0","1","0"
0,"2413","0116","0","1","0"
0,"23912.01","0116","0","1","0"
0,"23140.03","0117","0","1","0"
1,"39120.06","0117","0","1","0"
1,"23140.07","0117","0","1","0"
1,"39120.06","0117","0","1","0"
1,"23140.07","0117","0","1","0"
0,"23140.08","0117","0","1","0"
0,"2413","0117","0","1","0"
1,"39120.07","0118","0","1","0"
1,"23120.05","0118","0","1","0"
1,"39120.07","0118","0","1","0"
1,"23120.05","0118","0","1","0"
1,"24310.03","0118","0","1","0"
1,"23120.06","0114","0","1","0"
