parentID,parentName,childID,childName,conversionFactor
16,FLOUR WHEAT,18,MACARONI,1
16,FLOUR WHEAT,20,BREAD,0.8333
16,FLOUR WHEAT,22,PASTRY,1
16,FLOUR WHEAT,23,"WHEAT,STARCH",1.1765
16,FLOUR WHEAT,110,WAFERS,1
28,"RICE,HUSKED",29,MIL/HUS RICE,1.1765
31,MIL PAD RICE,32,"RICE,BROKEN",0.9809
32,"RICE,BROKEN",34,"RICE,STARCH",1.1111
32,"RICE,BROKEN",38,RICE FLOUR,1
45,POT BARLEY,46,"BARLEY,PEARL",1.0204
45,POT BARLEY,48,BARLEY FL GR,1.0204
49,MALT BARLEY,50,MALT EXTRACT,1.25
58,FLOUR MAIZE,64,STARCH MAIZE,1
164,SUGAR REFIND,168,SUGAR CONF,0.4545
164,SUGAR REFIND,171,SUGARS FLAV,1
243,GROUNDNT SHE,246,PREP GROUND.,1
243,GROUNDNT SHE,247,PEANUT BUTTE,1
662,COCOA PASTE,665,COCOA POWDER,1.8868
665,COCOA POWDER,666,CHOC PROD NS,0.2128
888,SK MILK COWS,895,SKMILK EVAP,2.8572
888,SK MILK COWS,896,SK MILK COND,3.3334
888,SK MILK COWS,899,DRY BUTTERMK,10.7139
888,SK MILK COWS,917,CASEIN,33.3334
920,HIDE W CATTL,921,HIDE D CATTL,2
928,SKIN W CALVE,929,SKIN D CALVE,2
958,HIDE W BUFFL,959,HIDE D BUFFL,1.8868
996,SKIN W SHEEP,997,SKIN D SHEEP,2
1026,SKIN W GOAT ,1027,SKIN D GOAT ,2
1045,SKIN W PIGS ,1046,SKIN D PIGS ,2
1103,HIDE W HORSE,1104,HIDE D HORSE,2
1134,HIDE W CAMEL,1135,HIDE D CAMEL,2
