Total,Level2,Level3,Level4
2901,2903,2905,2511
2901,2903,2905,2805
2901,2903,2905,2513
2901,2903,2905,2514
2901,2903,2905,2515
2901,2903,2905,2516
2901,2903,2905,2517
2901,2903,2905,2518
2901,2903,2905,2520
2901,2903,2907,2531
2901,2903,2907,2533
2901,2903,2907,2532
2901,2903,2907,2535
2901,2903,2907,2534
2901,2903,2908,2536
2901,2903,2908,2537
2901,2903,2909,2541
2901,2903,2909,2542
2901,2903,2909,2543
2901,2903,2909,2745
2901,2903,2911,2546
2901,2903,2911,2547
2901,2903,2911,2549
2901,2903,2912,2551
2901,2903,2913,2555
2901,2903,2913,2556
2901,2903,2913,2557
2901,2903,2913,2558
2901,2903,2913,2559
2901,2903,2913,2560
2901,2903,2913,2561
2901,2903,2913,2562
2901,2903,2913,2563
2901,2903,2913,2570
2901,2903,2914,2571
2901,2903,2914,2572
2901,2903,2914,2573
2901,2903,2914,2574
2901,2903,2914,2575
2901,2903,2914,2576
2901,2903,2914,2577
2901,2903,2914,2578
2901,2903,2914,2579
2901,2903,2914,2580
2901,2903,2914,2581
2901,2903,2914,2582
2901,2903,2914,2586
2901,2903,2918,2601
2901,2903,2918,2602
2901,2903,2918,2605
2901,2903,2919,2611
2901,2903,2919,2612
2901,2903,2919,2613
2901,2903,2919,2614
2901,2903,2919,2615
2901,2903,2919,2616
2901,2903,2919,2617
2901,2903,2919,2618
2901,2903,2919,2619
2901,2903,2919,2620
2901,2903,2919,2625
2901,2903,2922,2630
2901,2903,2922,2633
2901,2903,2922,2635
2901,2903,2923,2640
2901,2903,2923,2641
2901,2903,2923,2642
2901,2903,2923,2645
2901,2903,2924,2655
2901,2903,2924,2656
2901,2903,2924,2657
2901,2903,2924,2658
2901,2903,2924,2659
2901,2903,2928,2680
2901,2903,2928,2899
2901,2941,2943,2731
2901,2941,2943,2732
2901,2941,2943,2733
2901,2941,2943,2734
2901,2941,2943,2735
2901,2941,2945,2736
2901,2941,2946,2740
2901,2941,2946,2743
2901,2941,2946,2737
2901,2941,2946,2781
2901,2941,2946,2782
2901,2941,2948,2848
2901,2941,2949,2744
2901,2941,2960,2761
2901,2941,2960,2762
2901,2941,2960,2763
2901,2941,2960,2764
2901,2941,2960,2765
2901,2941,2960,2767
2901,2941,2960,2766
2901,2941,2961,2768
2901,2941,2961,2769
2901,2941,2961,2775
